filename;x;y;
/end_hero_scream.png;1;1
/end_inner_strength.png;1;1
/end_lid_secret.png;1;1
/end_exhausting_wound.png;51;1
/end_escape.png;101;1
/end_continuous_shoting.png;151;1
/end_inflexibility.png;201;1
/end_double_shot.png;251;1
/end_survival.png;301;1
/end_encouragement.png;351;1
/end_dash.png;401;1
/end_disarm.png;451;1
/end_second_breath.png;501;1
/light_lunge.png;551;1
/end_adrenaline.png;601;1
/end_rage.png;651;1
/end_scary_shot.png;701;1
/end_shield_run.png;751;1
/end_roundhouse.png;801;1
/end_ligation.png;851;1
/end_prepearing_position.png;901;1
/end_stone_style.png;951;1
/end_parry.png;1001;1
/end_counterattacks_secret.png;1051;1
/end_mobility.png;1101;1
/end_internal_beast.png;1151;1
/end_cirblow_big.png;1201;1
/end_suppression.png;1251;1
/end_hunted_wolf.png;1301;1
/end_rollcall.png;1351;1
/end_trance.png;1401;1
/end_wrath_power.png;1401;1
/end_frenzy.png;1451;1
/end_shield_block.png;1501;1
/end_brave_hunter.png;1551;1
